iter	Passed	Remaining
0	3518	348369
1	6119	299857
2	8790	284242
3	11606	278565
4	14539	276248
5	17389	272431
6	20123	267351
7	22727	261363
8	25303	255848
9	28176	253592
10	31090	251550
11	33958	249025
12	36699	245601
13	39378	241897
14	42074	238422
15	45079	236668
16	47952	234118
17	50747	231182
18	53455	227888
19	56167	224668
20	58903	221588
21	61832	219225
22	64762	216812
23	67600	214067
24	70273	210820
25	72968	207680
26	75856	205093
27	78789	202602
28	81611	199806
29	84431	197007
30	87090	193846
31	89760	190740
32	92736	188282
33	95659	185691
34	98470	182874
35	101231	179966
36	103881	176879
37	106622	173962
38	109615	171449
39	112526	168790
40	115373	166025
41	118052	163024
42	120627	159902
43	123410	157068
44	126411	154502
45	129308	151797
46	132150	149020
47	134791	146023
48	137469	143080
49	140412	140412
50	143382	137759
51	146268	135016
52	149000	132132
53	151756	129273
54	154506	126414
55	157540	123782
56	160468	121055
57	163352	118289
58	166078	115410
59	168707	112471
60	171478	109633
61	174468	106932
62	177294	104125
63	180081	101295
64	182766	98412
65	185472	95546
66	188318	92753
67	191284	90016
68	194170	87236
69	196963	84412
70	199718	81575
71	202414	78716
72	205355	75953
73	208323	73194
74	211110	70370
75	213854	67532
76	216571	64690
77	219391	61879
78	222414	59122
79	225223	56305
80	228041	53491
81	230738	50650
82	233416	47808
83	236328	45014
84	239361	42240
85	242209	39429
86	245033	36614
87	247696	33776
88	250388	30946
89	253280	28142
90	256243	25342
91	259089	22529
92	261818	19706
93	264486	16882
94	267215	14063
95	270197	11258
96	273095	8446
97	276063	5633
98	278735	2815
99	281395	0
